GB2260	POSTCODE
110100	100001
110228	101500
110229	102100
120100	300040
120221	301500
120223	301600
120225	301900
130100	050000
130200	063000
130300	066000
130400	056000
130500	054000
130600	071000
130700	075000
130800	067000
130900	061000
131000	065000
131100	053000
140100	030000
140200	037000
140300	045000
140400	046000
140500	048000
140600	036000
140700	030600
140800	044000
140900	034000
141000	041000
141100	033000
150100	010000
150200	014000
150300	016000
150400	024000
150500	028000
150600	017000
150700	021000
150800	015000
150900	012000
152200	137400
152500	026000
152900	750300
210100	110000
210200	116000
210300	114000
210400	113000
210500	117000
210600	118000
210700	121000
210800	115000
210900	123000
211000	111000
211100	124000
211200	112000
211300	122000
211400	121500
220100	130000
220200	132000
220300	136000
220400	136200
220500	134000
220600	134300
220700	138000
220800	137000
222400	133000
230100	150000
230200	161000
230300	158100
230400	154100
230500	155100
230600	163000
230700	153000
230800	154000
230900	154600
231000	157000
231100	164300
231200	152000
232700	165000
310100	200003
310230	202150
320100	210000
320200	214000
320300	221000
320400	213000
320500	215000
320600	226000
320700	222000
320800	223001
320900	224000
321000	225000
321100	212000
321200	225300
321300	223800
330100	310000
330200	315000
330300	325000
330400	314000
330500	313000
330600	312000
330700	321000
330800	324000
330900	316000
331000	318000
331100	323000
340100	230000
340200	241000
340300	233000
340400	232000
340500	243000
340600	235000
340700	244000
340800	246000
341000	242700
341100	239000
341200	236000
341300	234000
341500	237000
341600	236800
341700	247100
341800	242000
350100	350000
350200	361000
350300	351100
350400	365000
350500	362000
350600	363000
350700	353000
350800	364000
350900	352100
360100	330000
360200	333000
360300	337000
360400	332000
360500	336500
360600	335000
360700	341000
360800	343000
360900	336000
361000	344000
361100	334000
370100	250000
370200	266000
370300	255000
370400	277100
370500	257000
370600	264000
370700	261000
370800	272000
370900	271000
371000	264200
371100	276800
371200	271100
371300	276000
371400	253000
371500	252000
371600	256600
371700	274000
410100	450000
410200	475000
410300	471000
410400	467000
410500	455000
410600	456600
410700	453000
410800	454100
410900	457000
411000	461000
411100	462000
411200	472000
411300	473000
411400	476000
411500	464000
411600	466000
411700	463000
420100	430000
420200	435000
420300	442000
420500	443000
420600	441000
420700	436000
420800	448000
420900	432000
421000	434000
421100	438000
421200	437000
421300	441300
422800	445000
430100	410000
430200	412000
430300	411100
430400	421000
430500	422000
430600	414000
430700	415000
430800	427000
430900	413000
431000	423000
431100	425000
431200	418000
431300	417000
433100	416000
440100	510000
440200	512000
440300	518000
440400	519000
440500	515000
440600	528000
440700	529000
440800	524000
440900	525000
441200	526000
441300	516000
441400	514000
441500	516600
441600	517000
441700	529500
441800	511500
441900	523000
442000	528400
445100	515600
445200	522000
445300	527300
450100	530000
450200	545000
450300	541000
450400	543000
450500	536000
450600	538000
450700	535000
450800	537100
450900	537000
451000	533000
451100	542800
451200	547000
451300	546100
451400	532200
460100	570003
460200	572000
460300	573199
500100	400015
500223	402660
500226	402460
500228	405200
500229	405900
500230	408200
500231	408300
500232	408500
500233	404300
500234	405400
500235	404500
500236	404600
500237	404700
500238	405800
500240	409100
500241	409900
500242	409800
500243	409600
510100	610000
510300	643000
510400	617000
510500	646000
510600	618000
510700	621000
510800	628000
510900	629000
511000	641000
511100	614000
511300	637000
511400	620000
511500	644000
511600	638500
511700	635000
511800	625000
511900	636600
512000	641300
513200	624000
513300	626000
513400	615000
520100	550001
520200	553000
520300	563000
520400	561000
520500	551700
520600	554300
522300	562400
522600	556000
522700	558000
530100	650000
530300	655000
530400	653100
530500	678000
530600	657000
530700	674100
530800	665000
530900	677000
532300	675000
532500	661400
532600	663000
532800	666100
532900	671000
533100	678400
533300	673100
533400	674400
540100	850000
540200	857000
542100	854000
542200	856000
542400	852000
542500	859000
542600	860000
610100	710000
610200	727000
610300	721000
610400	712000
610500	714000
610600	716000
610700	723000
610800	719000
610900	725000
611000	726000
620100	730000
620200	735100
620300	737100
620400	730900
620500	741000
620600	733000
620700	734000
620800	744000
620900	735000
621000	745000
621100	743000
621200	742500
622900	731100
623000	747000
630100	810000
630200	810600
632200	812200
632300	811300
632500	813000
632600	814000
632700	815000
632800	817000
640100	750000
640200	753000
640300	751100
640400	756000
640500	755000
650100	830000
650200	834000
652100	838000
652200	839000
652300	831100
652700	833400
652800	841000
652900	843000
653000	845350
653100	844000
653200	848000
654000	835000
654200	834700
654300	836500
810000	999077
820000	999078
